date,fund_id,universe,method,periods_per_year,gross_return,turnover,trading_cost,net_return,growth_gross,growth_net,drawdown_gross,drawdown_net,is_rebalance
2022-02-28,crypto_max_sharpe,crypto,max_sharpe,365,0.1261487607615684,0,0,0.1261487607615684,3.397401287256494,3.390752832124146,-0.4345982770628769,-0.4346504634537153,False
2022-02-28,crypto_min_variance,crypto,minimum_variance,365,0.1134513762201018,0,0,0.1134513762201018,3.150786550809872,3.143406589355763,-0.4238293021169373,-0.4238881565714288,False
2022-02-28,crypto_risk_parity,crypto,risk_parity,365,0.1004996986933741,0,0,0.1004996986933741,2.736680186944128,2.7311699519285,-0.6047278599808634,-0.6049133858771554,False
2022-02-28,equity_equal_weight,equity,equal_weight,252,-0.001876773622613289,0,0,-0.001876773622613289,1.247120431435415,1.245426933153003,-0.0359825405089691,-0.03598254050896954,False
2022-02-28,equity_max_sharpe,equity,max_sharpe,252,-0.007722528166411135,0,0,-0.007722528166411135,1.102092511706964,1.099344460760591,-0.06082478417737691,-0.06103498542924191,False
2022-02-28,equity_min_variance,equity,minimum_variance,252,-0.009588791117449586,0,0,-0.009588791117449586,1.099747739989048,1.098292544333116,-0.03623303337008632,-0.03626522472681026,False
2022-02-28,equity_risk_parity,equity,risk_parity,252,-0.004377742333880081,0,0,-0.004377742333880081,1.192603078198095,1.191018661358767,-0.04242084682849256,-0.04245293452106103,False
2022-02-28,equity_risk_parity_sentiment,equity,risk_parity_sentiment,252,-0.004403061285465626,0,0,-0.004403061285465626,1.187259166771722,1.185448212065913,-0.04239377411024581,-0.04244429873078226,False
2022-03-01,combined_equal_weight,combined,equal_weight,252,-0.0102269222988093,0.04159250723406605,4.159250723406605e-05,-0.01026808944270363,1.37513837647949,1.372911906838572,-0.09751504936449595,-0.09766959167553524,True
2022-03-01,combined_max_sharpe,combined,max_sharpe,252,-0.0004283451774242219,0.10735181141697,0.00010735181141697,-0.000535651005210469,1.221863575382176,1.218466114854212,-0.09638590683517256,-0.09738208264091974,True
2022-03-01,combined_min_variance,combined,minimum_variance,252,-0.002688623164103538,0.02788240261656841,2.788240261656842e-05,-0.002716430601446551,1.088743042231717,1.087254559572196,-0.03622825043761702,-0.03628173109374089,True
2022-03-01,combined_risk_parity,combined,risk_parity,252,-0.009233110528417347,0.03472052787064157,3.472052787064157e-05,-0.009267510477816598,1.295039711966845,1.293086253280099,-0.06389978160436238,-0.06402806769690028,True
2022-03-01,crypto_equal_weight,crypto,equal_weight,365,0.003119622193887206,0.04051822865186318,4.051822865186318e-05,0.003078977563669927,2.925869747989617,2.919897689641536,-0.6043920096726811,-0.6046000925371414,True
2022-03-01,crypto_max_sharpe,crypto,max_sharpe,365,0.01667633636179348,0.03630538597458954,3.630538597458954e-05,0.01663942553499065,3.454057493878774,3.447173011381834,-0.4251694477516398,-0.425243371939112,True
2022-03-01,crypto_min_variance,crypto,minimum_variance,365,0.01502578223731223,0.03565547335851045,3.565547335851045e-05,0.01498959101257569,3.198129583398594,3.190524968516442,-0.4151718866790262,-0.4152524756609334,True
2022-03-01,crypto_risk_parity,crypto,risk_parity,365,0.003119622193887206,0.04051822865186318,4.051822865186318e-05,0.003078977563669927,2.745217595192891,2.739579162933057,-0.6034947602402344,-0.6036969230565647,True
